,Werksgüte,Bestellgütentext,Nenndicke NNN.NN mm mit Dezimalpunkt,Breite,Länge,Gewicht (kg),Cluster,Si-Gehalt,Mn-Gehalt,P-Gehalt,S-Gehalt,Cr-Gehalt,Ni-Gehalt,Mo-Gehalt,V-Gehalt,Cu-Gehalt,Nb-Gehalt,Ti-Gehalt,Al-Gehalt,B-Gehalt,Streckgrenze,Zugfestigkeit,Dehnung
0,G2UB5,SZBS800,320,856.0,0.3146067415730337,-1.1072727272727272,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,G2UJ5,SZBS800,339,918.0,0.0898876404494382,-0.9854545454545451,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,C3318,LICRO 500,452,"1,839.0",-1.053370786516854,-0.7054545454545452,WB-U,0.8750000000000016,2.336956521739129,-2.500000000000001,0.0,15.833333333333337,0.0,-0.05000000000000005,-10.0,6.5,-6.2727272727272725,16.794117647058822,-110.0,24.0,0.0,0.0,0.0
3,C3U15,S380MC mod. 4,532,"1,160.0",-0.601123595505618,-0.10345454545454529,WB-U,-0.9374999999999999,0.0,-0.4999999999999991,0.001,-0.25,-5.0,-0.35000000000000003,0.0,-0.5,7.7272727272727275,56.14705882352941,0.0,0.0,0.0,0.0,0.0
4,G3UB5,SZBE800,451,727.2,-0.33146067415730335,-1.5563636363636362,Spaltband,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,G2UB5,SZBS800,452,727.2,-0.4438202247191011,-1.7418181818181815,Spaltband,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,C27L5,50CrMo4,481,"1,334.0",-0.6151685393258427,0.10181818181818224,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,C2WS8,C2WS8,335,"1,075.0",0.2556179775280899,-0.2909090909090905,UNKNOWN,-0.437499999999999,-0.3695652173913043,-1.5000000000000009,0.003,0.25,27.99999999999997,0.85,0.0,17.0,8.045454545454545,46.55882352941177,-60.0,1.0,0.0,0.0,0.0
9,C1F28,CR300LA,541,"1,631.0",-1.2106741573033708,-1.1090909090909087,UNKNOWN,-7.562500000000006,-3.4673913043478226,2.5000000000000027,0.003,-0.25,3.999999999999993,-0.45,-20.0,31.0,-2.090909090909091,-1.3823529411764706,-50.0,1.0,0.0,0.0,0.0
10,UNKNOWN,UNKNOWN,457,"1,448.0",-0.1544943820224719,1.6836363636363638,WB-U,-15.000000000000012,-11.554347826086946,-10.500000000000007,-0.001,-2.2500000000000004,-34.99999999999997,-0.9500000000000001,-30.0,-8.0,-6.818181818181818,-2.0294117647058822,-430.0,-1.0,0.0,0.0,0.0
11,C2WS8,C2WS8,334,"1,042.0",-0.8033707865168539,-2.2399999999999998,WB-U,1.5625000000000027,-0.15217391304347827,3.5000000000000044,0.002,0.75,8.999999999999986,0.9500000000000001,-10.0,7.5,6.590909090909091,51.85294117647059,-120.0,1.0,0.0,0.0,0.0
12,C33J3,UNKNOWN,232,"1,522.0",-1.892932584269663,1.5165454545454546,UNKNOWN,3.250000000000002,-8.043478260869557,-0.4999999999999991,0.003,-0.6250000000000001,0.0,-0.35000000000000003,-30.0,5.0,-6.545454545454546,-0.6764705882352942,-10.0,0.0,0.0,0.0,0.0
13,G3K88,G3K88,335,"1,653.0",-0.5393258426966292,-0.29199999999999965,WB-U,0.7500000000000013,-1.7499999999999976,0.5000000000000009,0.005,-0.3333333333333334,-2.0,-0.35000000000000003,-10.0,3.5,7.545454545454546,30.264705882352942,380.0,-1.0,0.0,0.0,0.0
14,UNKNOWN,UNKNOWN,885,"1,283.0",-1.0898876404494382,0.5454545454545454,WB-U,-0.7499999999999996,3.184782608695651,4.900000000000006,0.0,-0.7083333333333336,-8.999999999999996,-0.55,-10.0,0.5,4.590909090909091,-1.0294117647058822,60.0,-1.0,432.0,563.0,35.0
15,UNKNOWN,G1BX5,555,"1,203.0",-0.6853932584269663,-0.09818181818181802,UNKNOWN,-10.625000000000009,0.8478260869565217,4.500000000000004,0.0,-0.7500000000000003,-3.0,0.05000000000000005,50.0,0.0,13.772727272727273,10.029411764705882,0.0,-1.0,0.0,0.0,0.0
16,G37M5,58CrV4,304,"1,351.0",0.2556179775280899,0.2909090909090912,WB-U,-1.2500000000000004,-2.27173913043478,0.5000000000000009,0.0013,38.87500000000001,4.999999999999993,-0.15,1130.0,-1.0,-6.5,-0.5588235294117647,-230.0,2.0,0.0,0.0,0.0
17,C2UG8,CR330Y590T-DP,332,993.0,0.45224719101123595,-0.2763636363636363,WB-U,0.562500000000001,2.3804347826086945,15.500000000000012,0.001,17.250000000000007,0.9999999999999931,-0.65,0.0,1.5,-6.409090909090909,-0.9117647058823529,-40.0,-1.0,0.0,0.0,0.0
18,G2UB5,HR660Y760T-CP,265,"1,313.0",0.8764044943820225,0.6836363636363639,WB-U,13.937500000000014,8.684782608695647,0.5000000000000009,-0.0004000000000000001,-0.7916666666666667,0.9999999999999931,12.450000000000003,30.0,1.0,14.181818181818182,64.32352941176471,100.0,-1.0,0.0,0.0,0.0
19,G2UB5,HR660Y760T-CP,265,"1,312.0",0.8904494382022472,0.6836363636363639,WB-U,12.937500000000012,8.836956521739122,0.5000000000000009,-0.0005,-0.5,-1.0,12.550000000000002,20.0,-2.5,13.136363636363637,37.088235294117645,210.0,-1.0,0.0,0.0,0.0
20,G2UB5,HR660Y760T-CP,265,"1,314.0",0.8679775280898876,0.6800000000000004,WB-U,12.937500000000012,8.836956521739122,0.5000000000000009,-0.0005,-0.5,-1.0,12.550000000000002,20.0,-2.5,13.136363636363637,37.088235294117645,210.0,-1.0,0.0,0.0,0.0
21,G2UB5,HR660Y760T-CP,265,"1,314.0",0.8820224719101124,0.6872727272727275,WB-U,12.937500000000012,8.836956521739122,0.5000000000000009,-0.0005,-0.5,-1.0,12.550000000000002,20.0,-2.5,13.136363636363637,37.088235294117645,210.0,-1.0,0.0,0.0,0.0
22,G2UB5,HR660Y760T-CP,265,"1,314.0",0.8707865168539326,0.6800000000000004,WB-U,12.937500000000012,8.836956521739122,0.5000000000000009,-0.0005,-0.5,-1.0,12.550000000000002,20.0,-2.5,13.136363636363637,37.088235294117645,210.0,-1.0,0.0,0.0,0.0
23,G2UB5,HR660Y760T-CP,265,"1,314.0",0.7949438202247191,0.5236363636363641,WBU,12.937500000000012,8.836956521739122,0.5000000000000009,-0.0005,-0.5,-1.0,12.550000000000002,20.0,-2.5,13.136363636363637,37.088235294117645,210.0,-1.0,0.0,0.0,0.0
24,G2WD8,D7G,334,"1,377.0",0.28651685393258425,0.9054545454545455,WBU,1.3750000000000024,8.64130434782608,2.5000000000000027,-0.0006000000000000001,11.333333333333337,-1.0,-0.55,-10.0,-1.5,-0.5909090909090909,0.14705882352941177,-100.0,1.0,0.0,0.0,0.0
25,C4LF5,42CrMo4,302,"1,182.0",0.37640449438202245,0.01818181818181844,UNKNOWN,-4.750000000000003,-4.271739130434778,-2.500000000000001,0.0,38.25000000000001,0.0,17.650000000000002,-10.0,-4.0,-6.363636363636363,-1.2058823529411764,-110.0,1.0,738.0,918.0,12.0
26,G2WD8,CR440Y780T-DP,184,"1,442.0",-1.8921151685393258,1.2181818181818187,WB-U,1.125000000000002,8.249999999999995,1.5000000000000027,-0.0008,11.29166666666667,1.9999999999999931,-0.65,0.0,5.5,-0.045454545454545456,2.323529411764706,-160.0,1.0,0.0,0.0,0.0
27,G2WL8,UNKNOWN,383,"1,134.0",0.23876404494382023,0.494545454545455,WB-U,-0.31250000000000056,8.684782608695647,-2.500000000000001,0.0,11.666666666666671,1.9999999999999931,-0.65,-10.0,10.5,0.6818181818181818,-0.6176470588235294,-20.0,-1.0,0.0,0.0,0.0
28,UNKNOWN,42CrMo4,302,"1,181.0",0.4297752808988764,0.10909090909090935,WB-U,-3.312500000000002,-4.119565217391299,-0.4999999999999991,0.0,37.83333333333334,11.999999999999986,18.450000000000003,0.0,-3.5,-6.181818181818182,-0.14705882352941177,200.0,1.0,1.297,1.38,9.0
29,C4LF5,UNKNOWN,252,"1,151.0",0.8960674157303371,0.007272727272727764,WB-U,-3.312500000000002,-4.119565217391299,-0.4999999999999991,0.0,37.83333333333334,11.999999999999986,18.450000000000003,0.0,-3.5,-6.181818181818182,-0.14705882352941177,200.0,1.0,716.0,899.0,12.0
30,UNKNOWN,42CrMo4,252,"1,148.0",0.898876404494382,0.0,WB-U,-3.312500000000002,-4.119565217391299,-0.4999999999999991,0.0,37.83333333333334,11.999999999999986,18.450000000000003,0.0,-3.5,-6.181818181818182,-0.14705882352941177,200.0,1.0,1.178,1.185,1.0
31,C4LF5,42CrMo4,252,"1,149.0",0.8932584269662921,-0.0036363636363635587,WB-U,-3.312500000000002,-4.119565217391299,-0.4999999999999991,0.0,37.83333333333334,11.999999999999986,18.450000000000003,0.0,-3.5,-6.181818181818182,-0.14705882352941177,200.0,1.0,699.0,878.0,10.0
32,G3K78,HX180YD,349,"1,445.0",0.1544943820224719,1.0581818181818183,WB-U,0.31250000000000056,-7.010869565217385,-2.500000000000001,0.004,-1.1250000000000002,-5.0,-0.55,-30.0,-2.5,7.090909090909091,31.676470588235293,-130.0,-1.0,0.0,0.0,0.0
33,G3HU8,CR210BH,342,"1,728.0",-0.0028089887640449437,1.4327272727272733,WB-U,-2.625000000000001,-8.869565217391296,-6.500000000000004,0.012,-1.541666666666667,0.0,-0.25,-30.0,2.0,0.045454545454545456,-1.2058823529411764,-120.0,-1.0,0.0,0.0,0.0
34,C2WP8,UNKNOWN,338,"1,520.0",0.22752808988764045,1.1490909090909092,WB-U,0.8750000000000016,8.249999999999995,-1.5000000000000009,-0.0004000000000000001,11.916666666666671,-5.9999999999999964,-0.55,-20.0,2.5,-0.36363636363636365,-0.7352941176470589,120.0,0.0,0.0,0.0,0.0
35,G2WD8,D7G,320,"1,677.0",0.2640449438202247,1.6654545454545455,WB-U,0.562500000000001,8.434782608695645,-0.4999999999999991,0.0009,12.041666666666671,4.999999999999993,-0.35000000000000003,10.0,34.5,-0.3181818181818182,-0.7941176470588235,-50.0,1.0,0.0,0.0,0.0
36,C1DE8,CR340LA,469,"1,711.0",-0.5252808988764045,1.36,WB-U,-11.312500000000009,-1.554347826086954,-1.5000000000000009,0.002,-0.8750000000000001,-5.9999999999999964,-0.15,-20.0,0.0,14.590909090909092,-1.3823529411764706,0.0,-1.0,0.0,0.0,0.0
37,G2UB5,HR660Y760T-CP,265,"1,153.0",-1.893238764044944,0.1563636363636369,WB-U,12.31250000000001,8.934782608695645,1.5000000000000027,-0.0007000000000000001,-0.6250000000000001,-3.0,12.550000000000002,10.0,7.5,13.045454545454545,66.5,150.0,-1.0,0.0,0.0,0.0
38,G2UB5,HR660Y760T-CP,265,"1,154.0",0.8426966292134831,0.16727272727272757,WB-U,12.31250000000001,8.934782608695645,1.5000000000000027,-0.0007000000000000001,-0.6250000000000001,-3.0,12.550000000000002,10.0,7.5,13.045454545454545,66.5,150.0,-1.0,0.0,0.0,0.0
39,C2225,DP600-MW06,545,"1,275.0",-1.2359550561797752,-1.8399999999999996,WB-U,-14.25000000000001,2.413043478260867,2.5000000000000027,0.003,12.250000000000002,-1.0,-0.35000000000000003,-20.0,1.5,-1.5454545454545454,-1.7941176470588236,-180.0,-1.0,0.0,0.0,0.0
40,C3LZ5,67CrNiMo33,302,"1,195.0",0.5,0.19272727272727314,UNKNOWN,2.250000000000004,-7.130434782608688,0.5000000000000009,0.0,18.91666666666667,574.9999999999994,19.85,-10.0,-4.5,-6.2727272727272725,0.8529411764705882,10.0,1.0,800.0,1.041,14.0
41,C3LF5,42CrMo4,252,"1,151.0",0.8848314606741573,-0.07636363636363602,WB-U,-3.187500000000002,-4.565217391304343,-3.5000000000000018,0.0,39.08333333333334,3.999999999999993,18.250000000000004,-10.0,2.0,-6.090909090909091,-0.5,-90.0,0.0,0.0,0.0,0.0
42,C1DS8,UNKNOWN,537,"1,422.6",-0.4297752808988764,1.5672727272727274,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,UNKNOWN,67CrNiMo33,252,"1,106.0",0.7668539325842697,-0.3309090909090903,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,G2UB5,SZBS800xpand®50,324,"1,208.0",-0.7808988764044944,-2.0109090909090908,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,C27L5,50CrMo4,484,"1,333.0",-0.6292134831460674,0.08363636363636379,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,C37N5,51CrV4,826,"1,284.0",-1.1601123595505618,-0.10181818181818159,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,UNKNOWN,UNKNOWN,377,"1,261.0",-0.2808988764044944,-0.26545454545454494,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,C27W8,RobuSal®800,540,"1,441.0",-0.47752808988764045,1.5272727272727276,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,X36Z5,Grade D6A,323,"1,082.0",0.16853932584269662,-0.45454545454545453,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,C27L5,UNKNOWN,522,"1,346.0",-0.8202247191011236,-0.23636363636363586,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,C37L5,UNKNOWN,519,"1,349.0",-0.7247191011235955,0.11636363636363646,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,C27L5,50CrMo4,482,"1,336.0",-0.6910112359550562,-0.11636363636363582,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,C27W8,DBL 4525.30,540,"1,213.0",-0.5140449438202247,0.5127272727272728,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,G2UJ5,SZBS800,339,"1,001.3",-0.0056179775280898875,-0.8636363636363636,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,G2UJ5,SZBS800,339,"1,001.0",0.0,-0.8563636363636359,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,G2UJ5,SZBS800,339,"1,001.4",0.028089887640449437,-0.7999999999999997,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,G2UJ5,SZBS800,339,"1,001.9",-0.008426966292134831,-0.8636363636363636,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,X2UJ5,SZBS800,339,"1,001.5",0.2247191011235955,-0.4690909090909088,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,G2UJ5,SZBS800,340,"1,001.5",0.23595505617977527,-0.4490909090909089,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,G27M5,58CrV4,820,"1,251.0",-1.1264044943820224,-0.07636363636363602,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,C27N5,51CrV4,827,"1,282.0",-1.151685393258427,-0.08727272727272671,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,X2UJ5,SZBS800,339,"1,001.6",0.199438202247191,-0.5072727272727271,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,UNKNOWN,UNKNOWN,339,"1,001.1",0.21910112359550563,-0.4763636363636359,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,G3HU3,CR210BH,336,"1,708.1",0.008426966292134831,1.4000000000000006,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,UNKNOWN,UNKNOWN,853,"1,276.7",-1.1179775280898876,0.23272727272727292,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,UNKNOWN,UNKNOWN,340,"1,001.4",0.20224719101123595,-0.5072727272727271,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,C2225,DP600-MW06,640,"1,367.0",-0.9550561797752809,0.13090909090909134,WB-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,UNKNOWN,42CrMo4,302,"1,181.0",0.4297752808988764,0.10909090909090935,WB-U,-3.312500000000002,-4.119565217391299,-0.4999999999999991,0.0,37.83333333333334,11.999999999999986,18.450000000000003,0.0,-3.5,-6.181818181818182,-0.14705882352941177,200.0,1.0,1.297,1.38,9.0
85,C3U15,S380MC mod. 4,532,"1,160.0",-0.601123595505618,-0.10345454545454529,WB-U,-0.9374999999999999,0.0,-0.4999999999999991,0.001,-0.25,-5.0,-0.35000000000000003,0.0,-0.5,7.7272727272727275,56.14705882352941,0.0,0.0,0.0,0.0,0.0
